Station,Geology,Geomorphology,Soil,Slope_percent,Drainage_Density,Lineament_Density,LULC,NDVI,SAVI,Rainfall_mm,Groundwater_Potential_Class
Bhadrachalam,Gneiss,Flood Plain,Clayey Soil,18.16,1.12,0.17,Water Body,0.287,0.332,912.4,Moderate
Bhadrachalam,Schist,Structural Hills,Alluvial Soil,21.8,4.25,0.05,Water Body,0.171,0.186,439.5,Very Low
Bhadrachalam,Schist,Flood Plain,Gravelly Loam,15.98,2.1,0.08,Water Body,0.406,0.357,416.1,Very Low
Bhadrachalam,Schist,Pediplain,Red Soil,5.53,0.76,0.76,Agricultural Land,0.396,0.351,825.3,High
Bhadrachalam,Gneiss,Alluvial Plain,Gravelly Loam,20.66,2.94,0.67,Forest,0.108,0.081,568.7,Low
Bhadrachalam,Granodiorite,Denudational Hills,Red Soil,16.63,1.24,0.78,Forest,0.431,0.412,764.0,Moderate
Bhadrachalam,Basalt,Structural Hills,Red Soil,3.11,1.28,0.08,Fallow Land,0.547,0.557,1045.3,High
Bhadrachalam,Granite,Alluvial Plain,Alluvial Soil,8.64,1.69,0.17,Water Body,0.393,0.44,824.9,Moderate
Bhadrachalam,Granodiorite,Pediplain,Alluvial Soil,21.48,3.66,0.5,Water Body,0.247,0.198,539.2,Low
Bhadrachalam,Gneiss,Denudational Hills,Black Cotton Soil,2.37,1.74,0.29,Built-up,0.532,0.544,631.6,Moderate
Bhadrachalam,Gneiss,Alluvial Plain,Red Soil,22.94,2.75,0.63,Forest,0.336,0.298,899.3,Moderate
Bhadrachalam,Basalt,Structural Hills,Black Cotton Soil,14.52,2.75,0.57,Fallow Land,0.32,0.29,1027.0,Moderate
Bhadrachalam,Granite,Structural Hills,Gravelly Loam,5.26,4.22,0.66,Water Body,0.214,0.172,602.8,Moderate
Bhadrachalam,Granite,Alluvial Plain,Alluvial Soil,10.07,0.99,0.32,Built-up,0.209,0.201,1018.3,Moderate
Bhadrachalam,Basalt,Alluvial Plain,Black Cotton Soil,0.71,2.54,0.36,Forest,0.314,0.346,1002.5,High
Bhadrachalam,Granite,Pediplain,Gravelly Loam,15.8,3.31,0.32,Water Body,0.269,0.313,626.2,Moderate
Bhadrachalam,Granodiorite,Denudational Hills,Clayey Soil,8.9,0.65,0.51,Agricultural Land,0.226,0.226,610.6,Moderate
Bhadrachalam,Gneiss,Flood Plain,Alluvial Soil,13.71,2.71,0.49,Fallow Land,0.417,0.435,771.7,Moderate
Bhadrachalam,Basalt,Flood Plain,Gravelly Loam,3.16,3.84,0.29,Water Body,0.416,0.429,775.0,High
Bhadrachalam,Granite,Pediplain,Alluvial Soil,7.18,3.08,0.18,Built-up,0.439,0.391,758.5,High
Bhadrachalam,Granodiorite,Alluvial Plain,Gravelly Loam,26.38,1.53,0.54,Water Body,0.271,0.232,1047.3,Moderate
Bhadrachalam,Granite,Flood Plain,Black Cotton Soil,16.97,4.03,0.19,Built-up,0.23,0.28,1075.8,Moderate
Bhadrachalam,Schist,Flood Plain,Alluvial Soil,25.6,4.24,0.64,Built-up,0.528,0.518,1021.4,Moderate
Bhadrachalam,Schist,Alluvial Plain,Gravelly Loam,14.83,2.29,0.8,Agricultural Land,0.587,0.565,613.8,Moderate
Bhadrachalam,Schist,Flood Plain,Black Cotton Soil,22.45,3.38,0.28,Fallow Land,0.347,0.315,656.5,Moderate
Bhadrachalam,Granite,Structural Hills,Gravelly Loam,10.83,3.08,0.55,Fallow Land,0.343,0.384,704.1,Moderate
Bhadrachalam,Basalt,Flood Plain,Gravelly Loam,1.79,4.48,0.4,Agricultural Land,0.35,0.357,938.0,High
Bhadrachalam,Basalt,Structural Hills,Alluvial Soil,17.38,4.42,0.11,Built-up,0.577,0.56,786.9,Moderate
Bhadrachalam,Granodiorite,Flood Plain,Red Soil,21.03,2.78,0.12,Forest,0.185,0.191,1055.3,Moderate
Bhadrachalam,Granodiorite,Flood Plain,Red Soil,21.41,2.71,0.27,Agricultural Land,0.261,0.296,495.6,Low
Bhadrachalam,Schist,Flood Plain,Gravelly Loam,19.02,1.28,0.1,Forest,0.406,0.364,403.6,Very Low
Bhadrachalam,Granodiorite,Pediplain,Alluvial Soil,14.24,2.67,0.26,Water Body,0.147,0.155,425.2,Very Low
Bhadrachalam,Schist,Structural Hills,Gravelly Loam,10.14,3.81,0.25,Fallow Land,0.119,0.099,776.0,Moderate
Bhadrachalam,Granodiorite,Flood Plain,Alluvial Soil,4.58,1.03,0.78,Built-up,0.197,0.188,889.7,High
Bhadrachalam,Basalt,Alluvial Plain,Red Soil,28.9,3.84,0.57,Forest,0.319,0.277,417.7,Very Low
Bhadrachalam,Basalt,Structural Hills,Clayey Soil,21.58,3.14,0.26,Built-up,0.178,0.153,784.5,Moderate
Bhadrachalam,Granite,Denudational Hills,Clayey Soil,0.92,0.96,0.08,Water Body,0.224,0.21,930.5,High
Bhadrachalam,Granodiorite,Pediplain,Clayey Soil,10.72,2.36,0.54,Water Body,0.109,0.135,964.8,Moderate
Bhadrachalam,Schist,Pediplain,Alluvial Soil,15.34,3.93,0.54,Water Body,0.123,0.11,838.1,Moderate
Bhadrachalam,Gneiss,Flood Plain,Clayey Soil,11.95,3.07,0.39,Water Body,0.393,0.437,802.8,Moderate
Bhadrachalam,Granodiorite,Structural Hills,Black Cotton Soil,6.28,0.78,0.13,Forest,0.293,0.339,1033.7,High
Bhadrachalam,Granite,Denudational Hills,Red Soil,25.42,0.59,0.66,Fallow Land,0.442,0.399,623.3,Moderate
Bhadrachalam,Basalt,Alluvial Plain,Black Cotton Soil,12.83,4.37,0.46,Agricultural Land,0.274,0.318,427.4,Very Low
Bhadrachalam,Schist,Alluvial Plain,Clayey Soil,17.63,3.97,0.47,Agricultural Land,0.466,0.429,575.0,Low
Bhadrachalam,Gneiss,Alluvial Plain,Gravelly Loam,15.15,2.06,0.27,Water Body,0.219,0.207,774.0,Moderate
Bhadrachalam,Granodiorite,Structural Hills,Clayey Soil,28.73,3.21,0.41,Built-up,0.579,0.614,648.4,Moderate
Bhadrachalam,Basalt,Pediplain,Red Soil,28.41,3.63,0.14,Forest,0.401,0.406,548.9,Low
Bhadrachalam,Schist,Alluvial Plain,Clayey Soil,3.95,1.07,0.62,Fallow Land,0.321,0.36,645.6,Moderate
Bhadrachalam,Basalt,Alluvial Plain,Gravelly Loam,4.82,2.55,0.22,Agricultural Land,0.211,0.201,1024.3,High
